,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,408160.1,1,2589,7.32e,Infinity Esports,Lava Esports,Smoker,Lumpy,hermit,JimmyCoff666,Payk,Prada,Frank,Kiri,Adrian,Leostyle,Techies,Monkey King,Lycan,Undying,Bloodseeker,Rubick,Centaur Warrunner,Void Spirit,Troll Warlord,Viper,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,45.58,47.55,51.53,49.05,44.33,50.82,50.07,51.74,53.65,-0.6,1.05,0.02,-1.54,-0.45,-0.35,-1.0,-2.48,1.18,1.56,1.95,-0.91,-2.23,6.2,-2.81,0.69,-1.11,0.11,1.01,-0.61,0.73,-1.43,0.33,1.36,-0.03
1,408160.0,0,2808,7.32e,Infinity Esports,Lava Esports,Kiri,Leostyle,Frank,Prada,Adrian,Lumpy,Smoker,JimmyCoff666,hermit,Payk,Techies,Ember Spirit,Tidehunter,Disruptor,Terrorblade,Pangolier,Keeper of the Light,Silencer,Lycan,Juggernaut,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,49.78,50.53,49.61,43.93,44.17,45.82,54.12,47.55,50.63,-0.51,0.68,0.15,-1.99,1.59,-1.2,-0.77,-0.27,-2.25,1.27,2.42,-0.31,-2.52,-0.73,2.06,0.69,-0.77,-1.18,1.56,-0.58,-0.62,2.66,-0.8,-3.4,-0.03
2,408161.1,0,2414,7.32e,Infinity Esports,noMERCY,Michael,Mr.Jeans,YadomiJN,Benjaz,Tiburoncin,Kiri,Leostyle,THZJM,Prada,Frank,Batrider,Clockwerk,Skywrath Mage,Timbersaw,Slark,Techies,Void Spirit,Sven,Oracle,Underlord,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,44.60,49.80,50.21,53.35,49.88,49.01,50.07,47.4,53.13,50.72,-0.77,0.25,-0.88,-0.46,-0.3,-0.25,1.29,-0.9,1.56,0.89,-0.25,0.97,1.06,1.62,-0.88,-0.94,-0.49,0.71,-0.65,-1.25,2.85,-0.89,-0.47,-0.15,-1.36
3,408161.0,0,2130,7.32e,Infinity Esports,noMERCY,Mr.Jeans,elmisho,Tiburoncin,YadomiJN,Benjaz,Kiri,THZJM,Prada,Frank,Leostyle,Beastmaster,Batrider,Bloodseeker,Lich,Timbersaw,Enchantress,Magnus,Disruptor,Legion Commander,Shadow Fiend,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,45.96,44.60,49.05,51.37,53.35,45.74,47.33,49.61,50.36,48.49,1.5,-0.2,-2.11,-0.31,-3.55,-1.06,-0.17,0.9,-0.8,-1.35,0.24,0.47,-0.24,0.38,0.13,0.52,-0.37,0.28,-1.27,-0.13,1.14,1.03,0.95,-0.09,1.25
4,408162.1,1,3152,7.32e,Infinity Esports,Keyd Stars,fcr,4nalog,Costabile,KJ,Kingrd,Frank,Kiri,Prada,Leostyle,THZJM,Doom,Pangolier,Terrorblade,Pugna,Clinkz,Magnus,Rubick,Skywrath Mage,Shadow Fiend,Chaos Knight,50,50,60.57041,53.151344,50,50,50,50,50,50,30,30,269,99,30,30,30,30,30,30,48.03,44.17,43.93,48.78,51.39,47.33,44.33,50.21,48.49,49.73,-0.03,0.57,-0.04,-0.26,0.59,-0.05,-1.05,-0.25,0.74,-1.92,-0.25,-0.49,0.01,-2.76,-0.03,1.07,-0.4,-0.97,0.74,1.01,-0.06,-0.1,0.23,-0.41,1.53
5,408162.0,1,2840,7.32e,Infinity Esports,Keyd Stars,4nalog,KJ,fcr,Kingrd,Costabile,THZJM,Leostyle,Prada,Kiri,Frank,Storm Spirit,Pugna,Doom,Bounty Hunter,Templar Assassin,Magnus,Puck,Silencer,Mirana,Underlord,50,53.151344,50,50,60.57041,50,50,50,50,50,30,99,30,30,130,30,30,30,30,30,48.04,48.78,48.03,48.40,46.01,47.33,46.56,54.12,47.84,50.72,-0.44,1.45,2.22,0.11,1.53,1.07,-0.44,0.15,1.04,-0.97,-0.03,0.27,-0.51,-0.4,-0.61,0.78,-1.21,-0.77,-1.57,-0.2,-0.14,-2.77,0.41,0.6,1.11
6,408163.1,1,2668,7.32e,Lava Esports,noMERCY,YadomiJN,Mr.Jeans,Michael,Benjaz,Kōtarō,hermit,Smoker,JimmyCoff666,Payk,Lumpy,Techies,Batrider,Mirana,Tidehunter,Anti-Mage,Beastmaster,Skywrath Mage,Undying,Medusa,Tusk,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,44.60,47.84,50.53,52.12,45.96,50.21,51.53,51.29,46.45,-2.12,0.25,0.03,0.85,-0.79,1.43,-1.5,0.3,0.77,0.44,0.79,-0.51,-0.13,-1.2,0.25,15.77,-1.7,0.58,0.19,0.48,1.24,-1.44,-1.42,-9.25,0.31
7,408163.0,0,1505,7.32e,Lava Esports,noMERCY,Smoker,Payk,hermit,Lumpy,JimmyCoff666,Benjaz,Michael,Mr.Jeans,YadomiJN,Kōtarō,Techies,Bloodseeker,Brewmaster,Void Spirit,Undying,Beastmaster,Skywrath Mage,Ember Spirit,Clockwerk,Juggernaut,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,49.05,49.84,50.07,51.53,45.96,50.21,49.78,49.80,50.63,-2.12,0.25,-0.59,0.25,1.59,0.11,0.26,1.33,2.0,1.69,1.86,1.28,0.4,0.05,0.52,0.19,-0.97,2.46,-1.29,-1.65,-1.13,0.08,1.84,-0.67,0.55
8,408164.1,1,2900,7.32e,Lava Esports,Keyd Stars,Kingrd,fcr,4nalog,KJ,Costabile,Smoker,JimmyCoff666,Lumpy,hermit,Payk,Techies,Magnus,Windranger,Silencer,Chaos Knight,Spirit Breaker,Oracle,Ember Spirit,Visage,Juggernaut,50,50,50,53.151344,60.57041,50,50,50,50,50,30,30,30,39,103,30,30,30,30,30,49.01,47.33,46.30,54.12,49.73,48.82,53.13,49.78,48.94,50.63,-0.07,0.73,-0.59,0.06,1.59,-1.15,-0.16,2.39,-0.99,0.99,-0.29,0.78,0.82,-2.56,-1.8,0.82,0.91,0.27,-0.47,-0.11,-0.16,-2.5,2.16,-0.34,0.08
9,408164.0,0,1995,7.32e,Lava Esports,Keyd Stars,hermit,Payk,Smoker,JimmyCoff666,Lumpy,KJ,4nalog,Kingrd,Costabile,fcr,Beastmaster,Monkey King,Rubick,Undying,Void Spirit,Enchantress,Timbersaw,Bounty Hunter,Templar Assassin,Winter Wyvern,50,50,50,50,50,53.151344,50,50,60.57041,50,30,30,30,30,30,270,30,30,130,30,45.96,45.58,44.33,51.53,50.07,45.74,53.35,48.40,46.01,50.53,1.5,-0.3,-0.05,0.04,2.31,0.71,0.67,0.75,-0.12,0.29,0.35,0.38,-0.2,1.66,0.51,1.96,1.12,1.09,-0.26,-1.79,1.07,0.49,0.91,0.94,0.96
